Cross Timber,268,362
Crowell,948,769
Crowley,12838,18070
Crystal City,7138,6354
Cuero,6841,8128
Cumby,777,679
Cuney,140,116
Cushing,612,557
Cut and Shoot,1070,1087
Daingerfield,2560,2522
Daisetta,966,923
Dalhart,7930,8447
Dallas,1197816,1304379
Dalworthington Gardens,2259,2293
Danbury,1715,1671
Darrouzett,350,309
Dawson,807,815
Dayton,7242,8777
Dayton Lakes,93,45
De Kalb,1699,1527
De Leon,2246,2258
Dean,493,488
Decatur,6042,6538
DeCordova,2683,3007
Deer Park,32010,34495
Del Rio,35591,34673
Dell City,365,245
Denison,22682,24479
Denton,113383,139869
Denver City,4479,4470
Deport,578,550
DeSoto,49047,56145
Detroit,732,704
Devers,447,361
Devine,4350,4324
Diboll,4776,4457
Dickens,286,219
Dickinson,18680,20847
Dilley,3894,3274
Dimmitt,4393,4171
DISH,201,437
Dodd City,369,369
Dodson,109,93
Domino,93,71
Donna,15798,16797
Dorchester,148,69
Double Oak,2867,3054
Douglassville,229,211
Draper,27,33
Dripping Springs,1788,4650
Driscoll,739,680
Dublin,3654,3359
Dumas,14691,14501
Duncanville,38524,40706
Eagle Lake,3639,3442
Eagle Pass,26248,28130
Early,2762,3087
Earth,1065,901
East Bernard,2272,2218
East Mountain,797,899
East Tawakoni,883,824
Eastland,3960,3609
Easton,510,499
Ector,695,737
Edcouch,3161,2732
Eden,2766,1100
Edgecliff Village,2776,3788
Edgewood,1441,1530
Edinburg,77100,100243
Edmonson,111,86
Edna,5499,5987
Edom,375,339
El Campo,11602,12350
El Cenizo,3273,2540
El Lago,2706,3090
El Paso,649121,678815
Eldorado,1951,1574
Electra,2791,2292
Elgin,8135,9784
Elkhart,1371,1287
Elmendorf,1488,1862
Elsa,5660,5668
Emhouse,133,187
Emory,1239,1251
Enchanted Oaks,326,347
Encinal,559,540
Ennis,18513,20159
Escobares,1188,2588
Estelline,145,121
Euless,51277,61032
Eureka,307,313
Eustace,991,1137
Evant,426,455
Everman,6108,6154
Fair Oaks Ranch,5986,9833
Fairchilds,763,864
Fairfield,2951,2850
Fairview,7248,10372
Falfurrias,4981,4609
Falls City,611,514
Farmers Branch,28616,35991
Farmersville,3301,10397
Farwell,1363,1425
Fate,6357,17958
